State/Province,DQ stores
Alaska,5
Alabama,66
Arkansas,29
Arizona,107
California,81
Colorado,89
Connecticut,38
Delaware,15
Florida,154
Georgia,212
Hawaii,7
Iowa,103
Idaho,24
Illinois,259
Indiana,205
Kansas,64
Kentucky,138
Louisiana,34
Massachusetts,32
Maryland,33
Maine,23
Michigan,158
Minnesota,226
Missouri,109
Mississippi,26
Montana,37
North Carolina,94
North Dakota,38
Nebraska,57
New Hampshire,12
New Jersey,76
New Mexico,35
Nevada,36
New York,42
Ohio,257
Oklahoma,22
Oregon,98
Pennsylvania,194
Rhode Island,2
South Carolina,31
South Dakota,40
Tennessee,82
Texas,586
Utah,27
Virginia,94
Washington,101
Wisconsin,129
West Virginia,69
Wyoming,9
AB,157
BC,125
MB,28
NB,20
NL,9
NS,23
ON,216
PE,1
QC,63
SK,54
,4
