State,Pizza hut stores
Alaska,12
Alabama,143
Arkansas,108
Arizona,151
California,584
Colorado,134
Connecticut,19
Washington DC,3
Delaware,10
Florida,480
Georgia,265
Guam,2
Hawaii,38
Iowa,99
Idaho,46
Illinois,222
Indiana,203
Kansas,175
Kentucky,130
Louisiana,147
Massachusetts,38
Maryland,92
Maine,17
Michigan,134
Minnesota,93
Missouri,210
Mississippi,108
Montana,35
North Carolina,256
North Dakota,18
Nebraska,80
New Hampshire,15
New Jersey,76
New Mexico,56
Nevada,77
New York,128
Ohio,303
Oklahoma,132
Oregon,60
Pennsylvania,185
Rhode Island,5
South Carolina,121
South Dakota,31
Tennessee,184
Texas,814
Utah,69
Virginia,236
Vermont,6
Washington,110
Wisconsin,127
West Virginia,53
Wyoming,29
