State,Subway stores
Alabama,420
Alaska,62
Arizona,415
Arkansas,271
California,2375
Colorado,398
Connecticut,305
Delaware,28
Florida,1368
Georgia,794
Hawaii,111
Idaho,125
Illinois,1064
Indiana,617
Iowa,294
Kansas,249
Kentucky,388
Louisiana,451
Maine,112
Maryland,442
Massachusetts,344
Michigan,869
Minnesota,447
Mississippi,297
Missouri,518
Montana,81
Nebraska,196
Nevada,196
New Hampshire,92
New Jersey,215
New Mexico,170
New York,937
North Carolina,780
North Dakota,67
Ohio,1075
Oklahoma,369
Oregon,286
Pennsylvania,771
Rhode Island,72
South Carolina,377
South Dakota,95
Tennessee,589
Texas,2028
Utah,207
Vermont,47
Virginia,649
Washington,555
Washington DC,67
West Virginia,180
Wisconsin,540
Wyoming,61
Additional Locations,
